,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,lat,long,Frontage,Land Depth,no amenity,gym,pool,party room,security,parking,balcony,indoor pool,recreation,sauna,storage - locker,guest suites,outdoor pool,bbqs allowed,bike storage,carpet free,in suite laundry,media room,tennis court,car wash,squash/racquet court
3774,849000.0,"810 - 435 Richmond St W , Toronto - Waterfront Communities C1",C9393882,849.5,Waterfront Communities C1,2,2,Condo Apt,Central Air,Forced Air,43.64762890000001,-79.3968573,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3775,695000.0,"405 - 700 King St W , Toronto - Niagara",C9387132,849.5,Niagara,2,1,Condo Apt,Central Air,Forced Air,43.6440604,-79.403314,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3776,1749000.0,"188 Carmichael Ave , Toronto - Bedford Park-Nortown",C9486600,875.86284856,Bedford Park-Nortown,3,2,Detached,Central Air,Forced Air,43.7359984,-79.4288289,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3777,555000.0,"3503 - 2200 Lake Shore Blvd W , Etobicoke - Mimico",W10415269,549.5,Mimico,1,1,Condo Apt,Central Air,Forced Air,43.6015351,-79.5008962,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3778,710000.0,"618 - 1 Old Mill Dr , Toronto - High Park-Swansea",W9388792,649.5,High Park-Swansea,1,1,Condo Apt,Central Air,Forced Air,43.6482513,-79.4866469,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3779,1349000.0,"511 - 350 Lonsdale Rd , Toronto - Forest Hill South",C9395919,1499.5,Forest Hill South,3,2,Condo Apt,Central Air,Radiant,43.6884877,-79.41462489999999,,,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3780,539800.0,"810 - 28 Pemberton Ave , North York - Newtonbrook East",C9347503,549.5,Newtonbrook East,1,1,Condo Apt,Central Air,Forced Air,43.7821074,-79.4132834,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3781,689999.0,"950 - 25 Viking Lane , Etobicoke - Islington-City Centre West",W9301173,849.5,Islington-City Centre West,2,2,Condo Apt,Central Air,Forced Air,43.6383246,-79.53595299999999,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3782,549999.0,"619 - 650 Queens Quay W , Toronto - Niagara",C9303148,649.5,Niagara,1,1,Condo Apt,Central Air,Forced Air,43.6354803,-79.3990008,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3783,729000.0,"26 - 13 Eaton Park Lane , Scarborough - L'Amoreaux",E9366247,949.5,L'Amoreaux,2,2,Condo Townhouse,Central Air,Forced Air,43.79432629999999,-79.309893,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
