price,address,mls,Calculated_sqft,Square Footage
2199000,43 Battersea Crescent,W10417425,2187.8003486499997,
1590000,44 Seneca Hill Drive,C10417419,2250.0,
2799900,603 Royal York Road,W10417364,4250.0,
1498000,204 Greenfield Avenue,C10417127,1228.5161986999997,
1299999,123 Ernest Avenue,C10417105,1675.85204241,
1,6405 Kingston Road,E10416976,1750.0,
2788000,39 Millburn Drive,W10416802,2750.0,
1888000,43 Tobermory Drive,W10416738,2863.310420949999,
1399000,2 Newport Avenue,E10416564,1516.92628808,
4199000,22 Shannon Street,C10416555,4250.0,
2199000,1218 Dufferin Street,W10416533,1327.62157878,
999999,23 Kingswell Crescent,E10416405,974.240589,
1749000,28 Eleventh Street,W10416291,905.6390251299998,
1488000,106 Cedar Brae Boulevard,E10416268,1750.0,
1058000,2 Fordover Drive,E10416206,1316.46156726,
2999000,34 Shaftesbury Avenue,C10416190,1690.3574740500003,
5999999,3 Edgehill Road,W10416148,5000.0,
2058000,280 Westlake Avenue,E10415842,2750.0,
899000,10 Whispering Willow Pathway,E10415729,962.6048131,
1649000,35 Prennan Avenue,W10415615,2250.0,
1,114 Lord Seaton Road,C10415580,2609.2447073,
4500000,319 Betty Ann Drive,C10415504,3280.18873322,
1848000,20 Cedarcrest Drive,W10415466,1560.4189024199998,
1049999,65 Montvale Drive,E10415390,1300.0,
1399000,37 Roxanne Crescent,E10415345,1765.77904496,
1899999,14 Lessard Avenue,W10415326,1750.0,
899999,70 Dunraven Drive,W10415303,1312.58548687,
1499900,110 Prince Edward Drive S,W10415187,1300.0,
2149000,21 Page Avenue,C10415170,1449.83597577,
990000,38 Cartier Crescent,E10415154,1257.96515271,
990000,65 Miramar Crescent,E10415106,946.97670669,
1499000,15 Hamptonbrook Drive,W10415093,1750.0,
2280000,54 Granlea Road,C10414993,2001.32762144,
5880000,47 Tournament Drive,C10414827,3003.56619073,
4880000,15 Citation Drive,C10414800,5000.0,
1188000,812 Kennedy Road,E10414682,1108.2403801,
1680000,183 Franklin Avenue,C10414620,1119.62320435,
949900,114 Milford Haven Drive,E10414535,1309.2239209,
1099900,29 Mitcham Drive,W10414240,1127.9060254,
1779000,41 Howarth Avenue,E10413603,4250.0,
2898000,26 Lia Crescent,C10413597,2677.18967327,
1498000,22 Reidmount Avenue,E10413278,2122.4688576000003,
1745000,4250 Bloor Street W,W10413064,2068.33289894,
1299000,6 Bonnyview Drive,W10413007,1280.42833562,
4495000,117 Upper Canada Drive,C10412945,2516.8452369200004,
1450000,84 Ellins Avenue,W10412852,1339.75679964,
3269999,55 Lynnhaven Street,C10412845,5000.0,
1359000,9 Westbrook Avenue,E10412798,1385.97590985,
2828000,211 Woodycrest Avenue,E10412735,2750.0,
2988000,85 Clarinda Drive,C10412690,2843.66845623,
2699000,116 Presley Avenue,E10412663,2259.557888,
1795000,2 Ashmount Crescent,W10412637,1892.12677955,
1899000,46 Thirty-sixth Street,W10412622,1947.835344,
1298000,55 Lilian Drive,E10412416,1504.56071976,
1680000,174 Alderbrae Avenue,W10412329,2250.0,
3795000,44 Donegall Drive,C10412265,2181.99968294,
2600000,70 Chamberlain Avenue,W10411957,1507.50141724,
5190000,115 Dewbourne Avenue,C10411951,2975.3421685399994,
1299000,215 Sloane Avenue,C10411875,1743.7044388400002,
2399000,106 Brooke Avenue,C10411869,1407.7566614999998,
1375000,76 Athol Avenue,W10411821,1074.02409478,
2750000,12 Gradwell Drive,E10411737,3250.0,
1350000,240 Rosethorn Avenue,W10411713,2333.5683116200003,
3898000,678 Oriole Parkway,C10411552,3250.0,
3595000,19 Hillhurst Boulevard,C10411353,2250.0,
2998000,683 Glencairn Avenue,C10411097,1990.2128183,
949000,38 Leroy Avenue,E10411290,914.95840975,
2498000,53 Abilene Drive,W10410973,2085.93510461,
1799000,10 Greenyards Drive,C10410718,1906.43415543,
2099000,896 Kennedy Road,E10410655,2750.0,
1794900,22 Shortland Crescent,W10410635,1479.6918052,
1199000,57 Roughfield Crescent,E10410515,1750.0,
1089000,30 Stevenwood Road,E10410514,11761.22807811,
1299000,75 Rivercourt Boulevard,E10410353,1300.0,
989000,224 Coronation Drive,E10410336,1490.5332052799995,
2230000,46 Bruce Farm Drive,C10410330,2605.08015439,
2690000,103 Manning Avenue,C10410305,2250.0,
1198800,88 Anthony Road,W10410181,884.63327428,
9885000,253 Dunvegan Road,C10410186,3030.48024629,
1299000,59 Chartwell Road,W10410076,900.0,
2388000,27 Devondale Avenue,C10410055,4250.0,
2150000,2 Garden Circle,C10409964,1348.72312834,
1348000,23 24th Street,W10409908,900.0,
1299900,95 Gaydon Avenue,W10409871,1374.9160026,
998800,19 Mulgrove Drive,W10409671,785.6419915399998,
1358000,24 Westdale Drive,W10409647,1389.9101153000004,
1699900,11 Park Manor Drive,W10409643,2250.0,
1699900,36 Martindale Road,E10409624,2250.0,
1999000,24 Burleigh Heights Drive,C10409565,1750.0,
1059000,104 Natal Avenue,E10409548,1008.66677037,
1050000,6 Newmarket Avenue,E10409327,2201.21755,
1269000,17A South Woodrow Boulevard,E10409325,864.1786351099998,
1099000,10 Smith Crescent,W10409241,1207.52013536,
